,comment,comment_id,author_name,reply_count,like_count,date,total_reply_counts
0,Ur the most optimistic person in the universe and if you're piss Ed it means something,Ugylute2Ab6mA0G2cSF4AaABAg,HJRC_0823,1,0,2022-02-08T07:52:58Z,1
1,"It wasn't just the direction that plot moved, did you also note how the dialog stopped including poetic and thoughtful lines and how Varys and Tyrion's wit and intelligence dropped from magnficant to average dunderhead",UgyU8Y348xtxK5_LlGZ4AaABAg,Furry Lovebear,0,0,2022-01-25T22:23:47Z,0
2,Lazy writing towards the end.,UgxNEHssvL6RlJ9KQex4AaABAg,Charles Comeaux jr,0,0,2022-01-18T23:32:29Z,0
3,Cool,Ugy638KYY2rLNdovh2V4AaABAg,Beavis Johnson,0,0,2022-01-12T05:51:08Z,0
4,The night king vs people was the main plot point they just never wanted to address it. Was the first scene in the show and the last in every season,UgzJeAc28XQ3jCENR9B4AaABAg,Luke Coupland,0,0,2022-01-08T02:09:21Z,0
5,"Just binge watched GOT and came across your video discussion. Totally agree with you. I would've liked Ayra to have been Queen, but overall a great series.",UgyBdzgkPlfeIs0xzJ14AaABAg,Nikole Scarlett,4,0,2022-01-02T15:06:52Z,4
6,pretty spot on with analysis----could have done with less of you talking about how you watched it in 2 weeks---we got it,Ugz5XG_BAXM_Hvobu5x4AaABAg,al berg,0,1,2021-12-26T01:53:52Z,0
7,binged the whole thing in a week,Ugy48AlwPzIoJAiaE5Z4AaABAg,Kezin,0,0,2021-12-24T10:34:55Z,0
8,Raid Shadow Legends and Game of Thrones Season Finale are both bad lol,UgzMWY8AorUFck-ilRp4AaABAg,Sleepingmonster,0,0,2021-12-15T08:55:34Z,0
9,"It's Dec 2021 and I've just spent 2 weeks ignoring my wife as I binged GOT.

Daenerys Targaryen: 8 season only to be screwed by the writing at the finish line.
Jon Snow: prophecy which leads nowhere, cool as wolf.
Tyrion Lannister: Smart for 5 season & then instantly became dumb. (Best character).
Arya Stark: Batman.
Sansa Stark: Hated this character.
Bran Stark: Boring...The King!!!! REALLY.
Cersei Lannister: 8 season & a building kills this bitch.
Jamie Lannister:  Poor writing for this character arc. 
Brienne of Tarth: Walked the county side most of the show, great acting
Rhaegal: is. Can not see ships in open water? I call BS

I really enjoyed GOT but it fell from grace hard in the later parts of season 7 and finally season 8, but I'm grateful that I didn't invest 8 yrs into this show or I would be pissed. 
GOT is definitely in my top 10 but it is no Breaking Bad
Or The Sopranos. 

Now to watch the last season of what I believe is the  best tv sci-fi EVER.
The Expanse
It can't happen again 🤞🤞",UgxbG0sUE7qEAjWAo6F4AaABAg,Potaka79,0,0,2021-12-14T19:16:34Z,0
10,"I'm sorry, but no. I actually binged the whole show just now and you could see that daenerys was going crazy slowly but surely over MULTIPLE SEASONS . She was a dictator, sadly also a sociopath and had a Messias complex",UgxD0LGh355ZDMC9tQp4AaABAg,Alida-Shalin Siebert,1,0,2021-12-13T11:52:04Z,1
11,I wonder how long it took Chris to watch the show?,UgxfPvt-hR57sxnh75F4AaABAg,Sammy Joel,0,0,2021-12-06T04:45:33Z,0
12,I badly want u to do a Better Call Saul review once it ends next year.,UgyeO_S4nzAj4abqF994AaABAg,Abhie Zibran,0,0,2021-11-29T20:39:53Z,0
13,i dont watch tv series for the same reason chris does have,Ugz852yaRXFqDsP_0FJ4AaABAg,krishna vamsi,0,0,2021-11-28T14:24:11Z,0
14,"I truly loved all the great battles with The ""Golden Company"". Especially The Giant Elephant's Battles. Too bad that all took place ""Off Screen"".",Ugw6tCnOqNNelXlMW2R4AaABAg,Michael,0,1,2021-11-16T01:17:08Z,0
15,I hoped in s8~ 1. jon and the night king would have a solid sword fight  2. dany would kill cersei 3. jon become king with a dragon .,UgzMf0Ibp89wOugkBlB4AaABAg,Yorum Aku,0,0,2021-11-15T09:07:06Z,0
16,There should have been a whole season dedicated to the white walkers. Like a full on apocalypse in westros where like most the population is slaughtered and they lose the battle at winterfell. City after city falling and the final battle is for kings landing with an epic fight between Jon Snow and the Night King. I hate how the whole show builds up to the white walkers being this inevitable doom only for them to just be taken down in one episode barley causing any damage to the rest of westros. Like kings landing didn't even know they existed. Winter barley came it just got a little snowy in kings landing. A whole season should have been this epic harsh apocalypse type winter undead threat. We should have felt like everything was hopeless. Then after that the next season should have been back to business as usual with the throne and Danny going crazy and dealing with Cersi (if she survived winter) that's just how it should have been. And f*ck subverting our expectations Jon was our hero and should have remained our hero and should have been the focus after we find out he was the heir to the throne. I mean for Christ sake he is Ice and Fire Stark and Targaryean. They f***ed up big time.,UgxvHXInYRoEPX-TRDt4AaABAg,Grunge Head,1,0,2021-11-11T09:09:34Z,1
17,Just realized Tyrion and Dany never had a conversation with Arya.,UgwJ9BzezpOyvYpv4kV4AaABAg,Donn Davis,2,2,2021-11-05T04:51:52Z,2
18,GoT is dead to me.,UgwZ21Vlj_UAdTWIMnh4AaABAg,H3MPY,1,1,2021-11-02T23:25:37Z,1
19,An absolute disgrace! Ugh! The quality of this series dropped SHARPLY! Now the physical copies will be utilized underneath an uneven table leg.,Ugy1eleEiM2AQ0L-eLJ4AaABAg,cance7984,2,1,2021-10-30T08:32:56Z,2
20,"Two years on I'm still pissed. As Chris says, S8 was well done in every aspect except the writing. It has become extremely clear that the failure of S8 was solely due to Dave and Dan. They were tired of GOT and eager to move on, and because of that they screwed everyone. Not just the fans but the crew and actors, those 100s of people who took pride in making such a unique show that was the pinnacle of television. The looks and words of the actors in interviews or at the table reads.  HBOs repeated requests to extend the show or at least the season. Even GRRM's writing schedule for WoW was likely affected by this as fans are now eager to see him do it differently, better--and since D&D did get the overall story arc from him, he may be afraid he can't do it any better (I'm thinking of Bran here, but this may apply to all the main characters). 

 D&D lost their oomph, their passion and simply wanted it over, but weren't willing to leave what had been their baby in the hands of others.  So they chose to screw over those who gave a damn.",UgzOjQZfkBMHzYdpuvV4AaABAg,VeracityLH,1,1,2021-10-26T16:02:30Z,1
21,I wonder if Chris ever noticed or laughed at the Starbucks cup and bottles of water in the show so yeah Starbucks existed in Westeros.,UgwaBXIUSnclRwi85rR4AaABAg,22martinez1,0,0,2021-10-26T11:03:53Z,0
